id,問題,正解,誤答1,誤答2,誤答3,解説
1,人体でもっとも硬いのはどれ？,歯,骨,爪,毛,解説1
2,ハードウェアディスクの容量で一番大きいのはどれ？,1TB(テラ),1GB(ギガ),1MB(メガ),1KB(キロ),解説2
3,ハードウェアディスクの容量で一番小さいのはどれ？,1KB(キロ),1GB(ギガ),1MB(メガ),1TB(テラ),解説3
4,ワイヤレスイヤホンなどに使われる、デジタル機器用の近距離無線通信の企画はどれ？,Bluetooth(ﾌﾞﾙｰﾄｩｰｽ),Blacktooth(ﾌﾞﾗｯｸﾄｩｰｽ),Whitetooth(ﾎﾜｲﾄﾄｩｰｽ),Redtooth(ﾚｯﾄﾞﾄｩｰｽ),解説4
5,長野県・善光寺での落下でも話題になった、小型無人飛行機を何という？,ドローン,マルーン,バルーン,クローン,解説5
6,Google社が提供する、スマートフォン用OSを何という？,Android,Drone,Alphabet,Windows,解説6
7,世界50カ国以上で提供される、アメリカ発の配車サービスはどれ？,Uber,DropBox,Airbnb,Kindle,解説7
8,2008年にMITの学生によって開始した、オンライン上にデータを保存できるサービスはどれ？,DropBox,Airbnb,Kindle,Uber,解説8
9,190カ国以上で展開される宿泊施設・民宿の貸出のためのウェブサービスはどれ？,Airbnb,Kindle,Uber,DropBox,解説9
10,Amazonが提供する電子書籍関連のサービスはどれ？,Kindle,Uber,DropBox,Airbnb,解説10
