id,問題,正解,誤答1,誤答2,誤答3,解説
1,sin75°=  ？,（√６＋√２）/４,（√６-√２）/４,２＋√３,２-√３,答えは（√６＋√２）/４。sin(α+β) = sinαcosβ + cosαcosβ の公式を利用する
2,He developped a (　　　) reputation as a leader of the project.,respectable,respecting,respectably,respect,答えはrespectable。空所後のreputationは名詞で、この中で名詞を修飾できるのは形容詞である(B) のrespectableになる。
3,x^2-8x+16 = ？,(x-4)^2,(x+4)^2,(x+8)^2,(x-8)^2,答えは(x-4)^2。x^2-2ax+a^2=(x-a)^2の公式を利用する
4,現岐阜県の不破郡が戦場となった合戦。慶長5年9月15日西暦1600年10月歴史の節目の戦いは何の戦い？,関ヶ原の戦い,桶狭間の戦い,長篠の戦い,姉川の戦い,答えは「関ヶ原の戦い」石田三成率いる「西軍」、徳川家康率いる「東軍」で激突。
5,翻訳家、伝染病の研究としても成果を残した「学問のすゝめ」の著者は誰？,福沢諭吉,野口英世,北里柴三郎,樋口一葉,答えは「福沢諭吉」慶応義塾の創始者であり、伝染病の研究や翻訳家としても偉大な成果を残した人。
6,英単語 bother の意味は？,悩ます,兄,一緒,小冊子,答えは「悩ます」bother はじゃまをしたり迷惑・心配をかけて相手の平静を乱すこと。 annoy はうるさく・不愉快なことで相手をいらいらさせること。
7,アンモニアの性質として間違っているものは？,空気より密度が大きい,刺激臭がする,水に溶けやすい,アルカリ性,アンモニアは空気より密度が小さい、水に溶けやすいという性質から上方置換法を用いて気体を採取する。
8,4歳で天皇に即位日本の第82代天皇 承久の乱を起こした天皇の名は？,後鳥羽天皇,推古天皇,天智天皇,後醍醐天皇,答えは「後鳥羽上皇」三種の神器を持たずに即位し、源氏から政権を取り戻すことを夢見て、承久の乱を起こした天皇。
9,アルカリ性水溶液にBTB溶液を加えると何色になるか？,青色,黄色,緑色,青紫色,答えは「青色」BTB溶液を水溶液に加えると、酸性は黄色、中性は緑色、アルカリ性は青色に変化する
10,冬の大三角形はシリウス.ベテルギウス、もうひとつは？,プロキオン,アルタイル,ベガ,アンドロメダ,答えは「プロキオン」冬の大三角形は「オリオン座」の赤い1等星ベテルギウス、「おおいぬ座」のシリウス、そして「こいぬ座」の1等星プロキオン、この3つの星が作る三角形のこと。
